Gene,Regulation,Timepoint
lnc-A1BG-2,Up,1h
lnc-A2LD1-2,Up,1h
lnc-A2LD1-4,Up,1h
lnc-A2M-2,Up,1h
lnc-AACS-4,Up,1h
lnc-AACS-5,Up,1h
lnc-AADACL2-6,Up,1h
lnc-AAGAB-1,Up,1h
lnc-AAGAB-2,Up,1h
lnc-AAMP-2,Up,1h
lnc-AARS-1,Up,1h
lnc-AASDHPPT-1,Up,1h
lnc-AASDHPPT-3,Up,1h
lnc-AATF-1,Up,1h
lnc-AATF-3,Up,1h
lnc-ABAT-3,Up,1h
lnc-ABCA1-1,Up,1h
lnc-ABCA5-10,Up,1h
lnc-ABCA5-7,Up,1h
lnc-ABCA5-8,Up,1h
lnc-ABCB4-2,Up,1h
lnc-ABCB5-2,Up,1h
lnc-ABCB5-3,Up,1h
lnc-ABCC3-1,Up,1h
lnc-ABCF2-2,Up,1h
lnc-ABCG5-4,Up,1h
lnc-ABCG5-5,Up,1h
lnc-ABHD14A-1,Up,1h
lnc-ABHD14B-1,Up,1h
lnc-ABHD2-2,Up,1h
lnc-ABHD4-2,Up,1h
lnc-ABHD6-4,Up,1h
lnc-ABHD8-1,Up,1h
lnc-ABI3-2,Up,1h
lnc-ABI3BP-1,Up,1h
lnc-ABTB2-1,Up,1h
lnc-AC004223.1-1,Up,1h
lnc-AC004980.12.1-4,Up,1h
lnc-AC005008.2.1-6,Up,1h
lnc-AC005082.1-1,Up,1h
lnc-AC005323.1.1-4,Up,1h
lnc-AC005481.5.1-1,Up,1h
lnc-AC005594.1-1,Up,1h
lnc-AC005702.1-1,Up,1h
lnc-AC005702.1-2,Up,1h
lnc-AC006050.2.1-6,Up,1h
lnc-AC006156.1-10,Up,1h
lnc-AC006305.1-2,Up,1h
lnc-AC006455.1-11,Up,1h
lnc-AC006455.1-2,Up,1h
lnc-AC006547.14.1-2,Up,1h
lnc-AC006946.15.1-10,Up,1h
lnc-AC006946.15.1-6,Up,1h
lnc-AC006946.15.1-7,Up,1h
lnc-AC006946.15.1-8,Up,1h
lnc-AC007390.5.1-4,Up,1h
lnc-AC007405.2.1-5,Up,1h
lnc-AC007431.1.1-5,Up,1h
lnc-AC007952.1.1-1,Up,1h
lnc-AC007952.2-2,Up,1h
lnc-AC007952.2.1-1,Up,1h
lnc-AC007956.1-1,Up,1h
lnc-AC008073.6.1-1,Up,1h
lnc-AC008073.6.1-2,Up,1h
lnc-AC008103.1-6,Up,1h
lnc-AC008132.13.1-2,Up,1h
