Gene,Regulation,Timepoint
A1BG-AS1,Up,1h
A4GALT,Up,1h
AACS,Up,1h
AAMDC,Up,1h
AAMP,Up,1h
AARSD1,Up,1h
AATF,Up,1h
ABAT,Up,1h
ABCA11P,Up,1h
ABCA2,Up,1h
ABCA3,Up,1h
ABCA7,Up,1h
ABCB8,Up,1h
ABCC10,Up,1h
ABCC3,Up,1h
ABCC4,Up,1h
ABCC5,Up,1h
ABCD1,Up,1h
ABCD4,Up,1h
ABCF1,Up,1h
ABCF3,Up,1h
ABHD11,Up,1h
ABHD12,Up,1h
ABHD14A-ACY1,Up,1h
ABHD17A,Up,1h
ABHD17C,Up,1h
ABHD5,Up,1h
ABHD8,Up,1h
ABI1,Up,1h
ABL1,Up,1h
ABLIM3,Up,1h
ABR,Up,1h
ABRACL,Up,1h
ABT1,Up,1h
ABTB1,Up,1h
ABTB2,Up,1h
ACAA1,Up,1h
ACAD11,Up,1h
ACAD8,Up,1h
ACADM,Up,1h
ACADS,Up,1h
ACAP3,Up,1h
ACAT2,Up,1h
ACBD3,Up,1h
ACCS,Up,1h
ACIN1,Up,1h
ACLY,Up,1h
ACO2,Up,1h
ACOT11,Up,1h
ACOT13,Up,1h
ACOT2,Up,1h
ACOT7,Up,1h
ACOT9,Up,1h
ACP1,Up,1h
ACSL5,Up,1h
ACSS2,Up,1h
ACTB,Up,1h
ACTG1,Up,1h
ACTG2,Up,1h
ACTN1,Up,1h
ACTN4,Up,1h
ACTR1A,Up,1h
ACTR1B,Up,1h
ACTR2,Up,1h
ACTR3,Up,1h
ACTR3B,Up,1h
ACTR5,Up,1h
ACVRL1,Up,1h
ADAM15,Up,1h
ADAM9,Up,1h
ADAMTS1,Up,1h
ADAMTS15,Up,1h
ADAMTS8,Up,1h
ADAP1,Up,1h
ADAP2,Up,1h
ADARB1,Up,1h
ADCY1,Up,1h
ADCY3,Up,1h
ADCY6,Up,1h
ADCY7,Up,1h
ADCY8,Up,1h
ADCY9,Up,1h
ADD1,Up,1h
ADH5,Up,1h
ADI1,Up,1h
ADIPOR1,Up,1h
ADIPOR2,Up,1h
ADK,Up,1h
ADM,Up,1h
ADNP2,Up,1h
ADRBK1,Up,1h
ADRM1,Up,1h
ADSL,Up,1h
ADSS,Up,1h
AEN,Up,1h
AES,Up,1h
AFAP1,Up,1h
AFF4,Up,1h
AFG3L2,Up,1h
AFMID,Up,1h
AGAP2,Up,1h
AGAP3,Up,1h
AGAP9,Up,1h
AGBL5,Up,1h
AGER,Up,1h
AGL,Up,1h
AGO1,Up,1h
AGO2,Up,1h
AGPAT2,Up,1h
AGPAT3,Up,1h
AGPAT5,Up,1h
AGPAT6,Up,1h
AGPAT9,Up,1h
AGRN,Up,1h
AGTRAP,Up,1h
AHCTF1,Up,1h
AHCY,Up,1h
AHCYL2,Up,1h
AHDC1,Up,1h
AHNAK,Up,1h
AHRR,Up,1h
AHSA1,Up,1h
AIF1,Up,1h
AIFM1,Up,1h
AIFM3,Up,1h
AIMP1,Up,1h
AIMP2,Up,1h
AIP,Up,1h
AK1,Up,1h
AK2,Up,1h
AKAP1,Up,1h
AKAP17A,Up,1h
AKAP2,Up,1h
AKAP8,Up,1h
AKAP8L,Up,1h
AKIRIN2,Up,1h
AKNA,Up,1h
AKR1A1,Up,1h
AKR1B1,Up,1h
AKR7A2,Up,1h
AKT1,Up,1h
AKT1S1,Up,1h
AKT2,Up,1h
ALAD,Up,1h
ALAS1,Up,1h
ALCAM,Up,1h
ALDH16A1,Up,1h
ALDH5A1,Up,1h
ALDOA,Up,1h
ALG1,Up,1h
ALKBH5,Up,1h
ALKBH7,Up,1h
ALOX5,Up,1h
ALOX5AP,Up,1h
ALYREF,Up,1h
AMBRA1,Up,1h
AMFR,Up,1h
AMIGO2,Up,1h
AMMECR1L,Up,1h
AMPD2,Up,1h
AMZ2,Up,1h
ANAPC1,Up,1h
ANAPC11,Up,1h
ANAPC15,Up,1h
ANAPC2,Up,1h
ANAPC4,Up,1h
ANAPC5,Up,1h
ANAPC7,Up,1h
ANGEL1,Up,1h
ANKFY1,Up,1h
ANKH,Up,1h
ANKHD1-EIF4EBP3,Up,1h
ANKIB1,Up,1h
ANKLE2,Up,1h
ANKRA2,Up,1h
ANKRD11,Up,1h
ANKRD12,Up,1h
ANKRD13D,Up,1h
ANKRD17,Up,1h
ANKRD30BL,Up,1h
ANKRD44,Up,1h
ANKRD49,Up,1h
ANKRD52,Up,1h
ANKRD54,Up,1h
ANKS1A,Up,1h
ANLN,Up,1h
ANO8,Up,1h
ANP32A,Up,1h
ANPEP,Up,1h
ANTXR1,Up,1h
ANXA1,Up,1h
ANXA11,Up,1h
ANXA2,Up,1h
ANXA4,Up,1h
ANXA5,Up,1h
ANXA6,Up,1h
ANXA7,Up,1h
AOC1,Up,1h
AP1B1,Up,1h
AP1G2,Up,1h
AP1M1,Up,1h
AP1S1,Up,1h
AP2A1,Up,1h
AP2A2,Up,1h
AP2B1,Up,1h
AP2M1,Up,1h
AP2S1,Up,1h
AP3D1,Up,1h
AP4B1,Up,1h
AP4M1,Up,1h
AP5B1,Up,1h
AP5Z1,Up,1h
APBA1,Up,1h
APBA2,Up,1h
APEH,Up,1h
APEX1,Up,1h
APEX2,Up,1h
APH1A,Up,1h
APIP,Up,1h
APLP2,Up,1h
APMAP,Up,1h
APOA1BP,Up,1h
APOBEC3B,Up,1h
APOBEC3C,Up,1h
APOBEC3F,Up,1h
APOBEC3G,Up,1h
APOBR,Up,1h
APOL1,Up,1h
APOL2,Up,1h
APOPT1,Up,1h
APP,Up,1h
APRT,Up,1h
APTX,Up,1h
AQP3,Up,1h
ARAF,Up,1h
ARAP1,Up,1h
ARAP3,Up,1h
ARCN1,Up,1h
AREL1,Up,1h
ARF1,Up,1h
ARF3,Up,1h
ARF6,Up,1h
ARFGAP1,Up,1h
ARFGAP2,Up,1h
ARFGAP3,Up,1h
ARFRP1,Up,1h
ARHGAP1,Up,1h
ARHGAP10,Up,1h
ARHGAP11A,Up,1h
ARHGAP17,Up,1h
ARHGAP22,Up,1h
ARHGAP25,Up,1h
ARHGAP27,Up,1h
ARHGAP30,Up,1h
ARHGAP31,Up,1h
ARHGAP4,Up,1h
ARHGAP9,Up,1h
ARHGDIA,Up,1h
ARHGDIB,Up,1h
ARHGEF1,Up,1h
ARHGEF10L,Up,1h
ARHGEF11,Up,1h
ARHGEF16,Up,1h
ARHGEF17,Up,1h
ARHGEF19,Up,1h
ARHGEF3,Up,1h
ARHGEF39,Up,1h
ARHGEF40,Up,1h
ARID1B,Up,1h
ARID3A,Up,1h
ARID3B,Up,1h
ARID4A,Up,1h
ARID5A,Up,1h
ARIH2,Up,1h
ARL16,Up,1h
ARL2,Up,1h
ARL3,Up,1h
ARL4C,Up,1h
ARL5A,Up,1h
ARL6IP4,Up,1h
ARL6IP5,Up,1h
ARL6IP6,Up,1h
ARL8A,Up,1h
ARMC1,Up,1h
ARMC5,Up,1h
ARMC6,Up,1h
ARMC7,Up,1h
ARMC8,Up,1h
ARMC9,Up,1h
ARMCX3,Up,1h
ARPC1A,Up,1h
ARPC1B,Up,1h
ARPC2,Up,1h
ARPC3,Up,1h
ARPC4,Up,1h
ARPC4-TTLL3,Up,1h
ARPC5L,Up,1h
ARRB1,Up,1h
ARRB2,Up,1h
ARRDC1,Up,1h
ARRDC2,Up,1h
ARSA,Up,1h
ARSD,Up,1h
ASAH1,Up,1h
ASB1,Up,1h
ASB6,Up,1h
ASCC2,Up,1h
ASF1A,Up,1h
ASH2L,Up,1h
ASL,Up,1h
ASMT,Up,1h
ASMTL,Up,1h
ASNA1,Up,1h
ASPH,Up,1h
ASPHD1,Up,1h
ASPSCR1,Up,1h
ASXL2,Up,1h
ATAD3A,Up,1h
ATAD3B,Up,1h
ATE1,Up,1h
ATF1,Up,1h
ATF5,Up,1h
ATF6B,Up,1h
ATG101,Up,1h
ATG12,Up,1h
ATG13,Up,1h
ATG16L1,Up,1h
ATG3,Up,1h
ATG4B,Up,1h
ATG4C,Up,1h
ATG4D,Up,1h
ATG9A,Up,1h
ATIC,Up,1h
ATP10A,Up,1h
ATP13A1,Up,1h
ATP1A1,Up,1h
ATP1B4,Up,1h
ATP2A2,Up,1h
ATP2A3,Up,1h
ATP2C1,Up,1h
ATP5A1,Up,1h
ATP5B,Up,1h
ATP5C1,Up,1h
ATP5D,Up,1h
ATP5E,Up,1h
ATP5F1,Up,1h
ATP5G1,Up,1h
ATP5G2,Up,1h
ATP5G3,Up,1h
ATP5H,Up,1h
ATP5I,Up,1h
ATP5J,Up,1h
ATP5J2,Up,1h
ATP5J2-PTCD1,Up,1h
ATP5L,Up,1h
ATP5O,Up,1h
ATP5SL,Up,1h
ATP6AP1,Up,1h
ATP6AP2,Up,1h
ATP6V0A1,Up,1h
ATP6V0B,Up,1h
ATP6V0C,Up,1h
ATP6V0D1,Up,1h
ATP6V0E1,Up,1h
ATP6V1B2,Up,1h
ATP6V1C1,Up,1h
ATP6V1E1,Up,1h
ATP6V1F,Up,1h
