lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-5.569150348,50.477361075568
SFPQ,hsa-miR-139-3p,JUN,-5.27478439,50.477361075568
SFPQ,hsa-miR-139-3p,MIDN,-5.569150348,-1.8346087403362
SFPQ,hsa-miR-139-3p,MIDN,-5.27478439,-1.8346087403362
SFPQ,hsa-miR-139-3p,CDS2,-5.569150348,8.5303152172239
SFPQ,hsa-miR-139-3p,CDS2,-5.27478439,8.5303152172239
SFPQ,hsa-miR-139-3p,HNRNPF,-5.569150348,48.547828638384
SFPQ,hsa-miR-139-3p,HNRNPF,-5.27478439,48.547828638384
SFPQ,hsa-miR-139-3p,PTGES3,-5.569150348,31.844479815577
SFPQ,hsa-miR-139-3p,PTGES3,-5.27478439,31.844479815577
SFPQ,hsa-miR-139-3p,RTN4,-5.569150348,66.939864116294
SFPQ,hsa-miR-139-3p,RTN4,-5.27478439,66.939864116294
SFPQ,hsa-miR-139-3p,APP,-5.569150348,30.162200629925
SFPQ,hsa-miR-139-3p,APP,-5.27478439,30.162200629925
SFPQ,hsa-miR-139-3p,CKB,-5.569150348,10.2203117393616
SFPQ,hsa-miR-139-3p,CKB,-5.27478439,10.2203117393616
SFPQ,hsa-miR-139-3p,VIM,-5.569150348,1491.79993379354
SFPQ,hsa-miR-139-3p,VIM,-5.27478439,1491.79993379354
SFPQ,hsa-miR-139-3p,LRPPRC,-5.569150348,14.634920091742
SFPQ,hsa-miR-139-3p,LRPPRC,-5.27478439,14.634920091742
SFPQ,hsa-miR-139-3p,ZNF281,-5.569150348,6.2260650832594
SFPQ,hsa-miR-139-3p,ZNF281,-5.27478439,6.2260650832594
SFPQ,hsa-miR-139-3p,HMGB2,-5.569150348,3.0846753852782
SFPQ,hsa-miR-139-3p,HMGB2,-5.27478439,3.0846753852782
SFPQ,hsa-miR-139-3p,DUSP1,-5.569150348,136.746059997625
SFPQ,hsa-miR-139-3p,DUSP1,-5.27478439,136.746059997625
SFPQ,hsa-miR-139-3p,ZNF217,-5.569150348,4.462536485179
SFPQ,hsa-miR-139-3p,ZNF217,-5.27478439,4.462536485179
SFPQ,hsa-miR-139-3p,NOB1,-5.569150348,11.5206379389808
SFPQ,hsa-miR-139-3p,NOB1,-5.27478439,11.5206379389808
SFPQ,hsa-miR-139-3p,TMSB4X,-5.569150348,661.32266894104
SFPQ,hsa-miR-139-3p,TMSB4X,-5.27478439,661.32266894104
SFPQ,hsa-miR-139-3p,AZIN1,-5.569150348,47.191841206622
SFPQ,hsa-miR-139-3p,AZIN1,-5.27478439,47.191841206622
SFPQ,hsa-miR-139-3p,CD164,-5.569150348,64.887865678385
SFPQ,hsa-miR-139-3p,CD164,-5.27478439,64.887865678385
SFPQ,hsa-miR-139-3p,HNRNPU,-5.569150348,37.847994547415
SFPQ,hsa-miR-139-3p,HNRNPU,-5.27478439,37.847994547415
SFPQ,hsa-miR-139-3p,PNRC1,-5.569150348,37.8138871455
SFPQ,hsa-miR-139-3p,PNRC1,-5.27478439,37.8138871455
SFPQ,hsa-miR-139-3p,MCL1,-5.569150348,100.4728322712
SFPQ,hsa-miR-139-3p,MCL1,-5.27478439,100.4728322712
SFPQ,hsa-miR-139-3p,DYNLL2,-5.569150348,1.564669763724
SFPQ,hsa-miR-139-3p,DYNLL2,-5.27478439,1.564669763724
SFPQ,hsa-miR-139-3p,YWHAQ,-5.569150348,115.737623200655
SFPQ,hsa-miR-139-3p,YWHAQ,-5.27478439,115.737623200655
SFPQ,hsa-miR-139-3p,KDM6B,-5.569150348,-6.25947534898005
SFPQ,hsa-miR-139-3p,KDM6B,-5.27478439,-6.25947534898005
SFPQ,hsa-miR-139-3p,ITM2B,-5.569150348,91.555030696542
SFPQ,hsa-miR-139-3p,ITM2B,-5.27478439,91.555030696542
SFPQ,hsa-miR-139-3p,MFSD6,-5.569150348,14.2841506985013
SFPQ,hsa-miR-139-3p,MFSD6,-5.27478439,14.2841506985013
SFPQ,hsa-miR-139-3p,ADIPOR2,-5.569150348,2.8831235936182
SFPQ,hsa-miR-139-3p,ADIPOR2,-5.27478439,2.8831235936182
SFPQ,hsa-miR-139-3p,GLO1,-5.569150348,87.024830097262
SFPQ,hsa-miR-139-3p,GLO1,-5.27478439,87.024830097262
SFPQ,hsa-miR-139-3p,UBE2Z,-5.569150348,50.782984279404
SFPQ,hsa-miR-139-3p,UBE2Z,-5.27478439,50.782984279404
SFPQ,hsa-miR-139-3p,INSIG1,-5.569150348,148.834485320193
SFPQ,hsa-miR-139-3p,INSIG1,-5.27478439,148.834485320193
SFPQ,hsa-miR-139-3p,ARFGEF2,-5.569150348,13.851697134174
SFPQ,hsa-miR-139-3p,ARFGEF2,-5.27478439,13.851697134174
SFPQ,hsa-miR-139-3p,RBBP7,-5.569150348,23.3153224278631
SFPQ,hsa-miR-139-3p,RBBP7,-5.27478439,23.3153224278631
SFPQ,hsa-miR-139-3p,AAK1,-5.569150348,-11.9478103376506
SFPQ,hsa-miR-139-3p,AAK1,-5.27478439,-11.9478103376506
SFPQ,hsa-miR-139-3p,ZBTB10,-5.569150348,-1.02907735597163
SFPQ,hsa-miR-139-3p,ZBTB10,-5.27478439,-1.02907735597163
SFPQ,hsa-miR-139-3p,ELAVL1,-5.569150348,11.0183825737161
SFPQ,hsa-miR-139-3p,ELAVL1,-5.27478439,11.0183825737161
SFPQ,hsa-miR-139-3p,DDIT4,-5.569150348,1.5747342849462
SFPQ,hsa-miR-139-3p,DDIT4,-5.27478439,1.5747342849462
SFPQ,hsa-miR-139-3p,HIPK1,-5.569150348,3.92333431423
SFPQ,hsa-miR-139-3p,HIPK1,-5.27478439,3.92333431423
SFPQ,hsa-miR-139-3p,TXNIP,-5.569150348,97.170661429071
SFPQ,hsa-miR-139-3p,TXNIP,-5.27478439,97.170661429071
SFPQ,hsa-miR-139-3p,ZNF800,-5.569150348,6.2358728180061
SFPQ,hsa-miR-139-3p,ZNF800,-5.27478439,6.2358728180061
SFPQ,hsa-miR-139-3p,PDE7A,-5.569150348,-7.1281442783564
SFPQ,hsa-miR-139-3p,PDE7A,-5.27478439,-7.1281442783564
SFPQ,hsa-miR-139-3p,LMO4,-5.569150348,53.801965437033
SFPQ,hsa-miR-139-3p,LMO4,-5.27478439,53.801965437033
SFPQ,hsa-miR-139-3p,NAP1L1,-5.569150348,46.482559148999
SFPQ,hsa-miR-139-3p,NAP1L1,-5.27478439,46.482559148999
SFPQ,hsa-miR-139-3p,TMED10,-5.569150348,88.058104012615
SFPQ,hsa-miR-139-3p,TMED10,-5.27478439,88.058104012615
SFPQ,hsa-miR-139-3p,KTN1,-5.569150348,4.75610951848201
SFPQ,hsa-miR-139-3p,KTN1,-5.27478439,4.75610951848201
SFPQ,hsa-miR-139-3p,GCLC,-5.569150348,23.468961849582
SFPQ,hsa-miR-139-3p,GCLC,-5.27478439,23.468961849582
SFPQ,hsa-miR-139-3p,TSPYL1,-5.569150348,43.287839640752
SFPQ,hsa-miR-139-3p,TSPYL1,-5.27478439,43.287839640752
SFPQ,hsa-miR-139-3p,DCBLD2,-5.569150348,6.0368934718413
SFPQ,hsa-miR-139-3p,DCBLD2,-5.27478439,6.0368934718413
SFPQ,hsa-miR-139-3p,FOS,-5.569150348,38.146513145607
SFPQ,hsa-miR-139-3p,FOS,-5.27478439,38.146513145607
SFPQ,hsa-miR-139-3p,THBS1,-5.569150348,2.8341266174008
SFPQ,hsa-miR-139-3p,THBS1,-5.27478439,2.8341266174008
SFPQ,hsa-miR-139-3p,ZFP36L2,-5.569150348,-3.495496305084
SFPQ,hsa-miR-139-3p,ZFP36L2,-5.27478439,-3.495496305084
PPP4C,hsa-miR-490-3p,PCBP1,1.17972065,42.048890597592
PPP4C,hsa-miR-490-3p,PCBP1,-3.52475399,42.048890597592
PPP4C,hsa-miR-490-3p,PCBP1,-2.501243023,42.048890597592
PPP4C,hsa-miR-490-3p,PCBP1,-1.606514469,42.048890597592
PPP4C,hsa-miR-490-3p,PCBP1,-2.9468931,42.048890597592
PPP4C,hsa-miR-490-3p,HNRNPA1,1.17972065,17.793352813721
PPP4C,hsa-miR-490-3p,HNRNPA1,-3.52475399,17.793352813721
PPP4C,hsa-miR-490-3p,HNRNPA1,-2.501243023,17.793352813721
PPP4C,hsa-miR-490-3p,HNRNPA1,-1.606514469,17.793352813721
PPP4C,hsa-miR-490-3p,HNRNPA1,-2.9468931,17.793352813721
PPP4C,hsa-miR-490-3p,CDK1,1.17972065,5.5236252537445
PPP4C,hsa-miR-490-3p,CDK1,-3.52475399,5.5236252537445
PPP4C,hsa-miR-490-3p,CDK1,-2.501243023,5.5236252537445
PPP4C,hsa-miR-490-3p,CDK1,-1.606514469,5.5236252537445
PPP4C,hsa-miR-490-3p,CDK1,-2.9468931,5.5236252537445
PPP4C,hsa-miR-490-3p,CALM2,1.17972065,122.53738532686
PPP4C,hsa-miR-490-3p,CALM2,-3.52475399,122.53738532686
PPP4C,hsa-miR-490-3p,CALM2,-2.501243023,122.53738532686
PPP4C,hsa-miR-490-3p,CALM2,-1.606514469,122.53738532686
PPP4C,hsa-miR-490-3p,CALM2,-2.9468931,122.53738532686
PPP4C,hsa-miR-490-3p,SMARCD1,1.17972065,8.9729538145819
PPP4C,hsa-miR-490-3p,SMARCD1,-3.52475399,8.9729538145819
PPP4C,hsa-miR-490-3p,SMARCD1,-2.501243023,8.9729538145819
PPP4C,hsa-miR-490-3p,SMARCD1,-1.606514469,8.9729538145819
PPP4C,hsa-miR-490-3p,SMARCD1,-2.9468931,8.9729538145819
PPP4C,hsa-miR-490-3p,RSRC2,1.17972065,3.72981410590589
PPP4C,hsa-miR-490-3p,RSRC2,-3.52475399,3.72981410590589
PPP4C,hsa-miR-490-3p,RSRC2,-2.501243023,3.72981410590589
PPP4C,hsa-miR-490-3p,RSRC2,-1.606514469,3.72981410590589
PPP4C,hsa-miR-490-3p,RSRC2,-2.9468931,3.72981410590589
PPP4C,hsa-miR-490-3p,NUFIP2,1.17972065,-12.040386849761
PPP4C,hsa-miR-490-3p,NUFIP2,-3.52475399,-12.040386849761
PPP4C,hsa-miR-490-3p,NUFIP2,-2.501243023,-12.040386849761
PPP4C,hsa-miR-490-3p,NUFIP2,-1.606514469,-12.040386849761
PPP4C,hsa-miR-490-3p,NUFIP2,-2.9468931,-12.040386849761
PPP4C,hsa-miR-490-3p,HMGA2,1.17972065,-7.7697622218792
PPP4C,hsa-miR-490-3p,HMGA2,-3.52475399,-7.7697622218792
PPP4C,hsa-miR-490-3p,HMGA2,-2.501243023,-7.7697622218792
PPP4C,hsa-miR-490-3p,HMGA2,-1.606514469,-7.7697622218792
PPP4C,hsa-miR-490-3p,HMGA2,-2.9468931,-7.7697622218792
PPP4C,hsa-miR-490-3p,AHCTF1,1.17972065,-16.897135989407
PPP4C,hsa-miR-490-3p,AHCTF1,-3.52475399,-16.897135989407
PPP4C,hsa-miR-490-3p,AHCTF1,-2.501243023,-16.897135989407
PPP4C,hsa-miR-490-3p,AHCTF1,-1.606514469,-16.897135989407
PPP4C,hsa-miR-490-3p,AHCTF1,-2.9468931,-16.897135989407
PPP4C,hsa-miR-490-3p,AKIRIN1,1.17972065,26.859365187647
PPP4C,hsa-miR-490-3p,AKIRIN1,-3.52475399,26.859365187647
PPP4C,hsa-miR-490-3p,AKIRIN1,-2.501243023,26.859365187647
PPP4C,hsa-miR-490-3p,AKIRIN1,-1.606514469,26.859365187647
PPP4C,hsa-miR-490-3p,AKIRIN1,-2.9468931,26.859365187647
PPP4C,hsa-miR-490-3p,TGFBR1,1.17972065,1.6917726735486
PPP4C,hsa-miR-490-3p,TGFBR1,-3.52475399,1.6917726735486
PPP4C,hsa-miR-490-3p,TGFBR1,-2.501243023,1.6917726735486
PPP4C,hsa-miR-490-3p,TGFBR1,-1.606514469,1.6917726735486
PPP4C,hsa-miR-490-3p,TGFBR1,-2.9468931,1.6917726735486
PPP4C,hsa-miR-490-3p,YWHAE,1.17972065,66.384446741149
PPP4C,hsa-miR-490-3p,YWHAE,-3.52475399,66.384446741149
PPP4C,hsa-miR-490-3p,YWHAE,-2.501243023,66.384446741149
PPP4C,hsa-miR-490-3p,YWHAE,-1.606514469,66.384446741149
PPP4C,hsa-miR-490-3p,YWHAE,-2.9468931,66.384446741149
PPP4C,hsa-miR-490-3p,AKIRIN2,1.17972065,10.8535365641231
PPP4C,hsa-miR-490-3p,AKIRIN2,-3.52475399,10.8535365641231
PPP4C,hsa-miR-490-3p,AKIRIN2,-2.501243023,10.8535365641231
PPP4C,hsa-miR-490-3p,AKIRIN2,-1.606514469,10.8535365641231
PPP4C,hsa-miR-490-3p,AKIRIN2,-2.9468931,10.8535365641231
PPP4C,hsa-miR-490-3p,VDAC1,1.17972065,94.91072966471
PPP4C,hsa-miR-490-3p,VDAC1,-3.52475399,94.91072966471
PPP4C,hsa-miR-490-3p,VDAC1,-2.501243023,94.91072966471
PPP4C,hsa-miR-490-3p,VDAC1,-1.606514469,94.91072966471
PPP4C,hsa-miR-490-3p,VDAC1,-2.9468931,94.91072966471
PPP4C,hsa-miR-490-3p,TNKS2,1.17972065,2.0068578395647
PPP4C,hsa-miR-490-3p,TNKS2,-3.52475399,2.0068578395647
PPP4C,hsa-miR-490-3p,TNKS2,-2.501243023,2.0068578395647
PPP4C,hsa-miR-490-3p,TNKS2,-1.606514469,2.0068578395647
PPP4C,hsa-miR-490-3p,TNKS2,-2.9468931,2.0068578395647
PPP4C,hsa-miR-490-3p,PAPOLA,1.17972065,12.487678119076
PPP4C,hsa-miR-490-3p,PAPOLA,-3.52475399,12.487678119076
PPP4C,hsa-miR-490-3p,PAPOLA,-2.501243023,12.487678119076
PPP4C,hsa-miR-490-3p,PAPOLA,-1.606514469,12.487678119076
PPP4C,hsa-miR-490-3p,PAPOLA,-2.9468931,12.487678119076
PPP4C,hsa-miR-490-3p,TMED2,1.17972065,49.261805065481
PPP4C,hsa-miR-490-3p,TMED2,-3.52475399,49.261805065481
PPP4C,hsa-miR-490-3p,TMED2,-2.501243023,49.261805065481
PPP4C,hsa-miR-490-3p,TMED2,-1.606514469,49.261805065481
PPP4C,hsa-miR-490-3p,TMED2,-2.9468931,49.261805065481
PPP4C,hsa-miR-490-3p,MORF4L2,1.17972065,52.851428773328
PPP4C,hsa-miR-490-3p,MORF4L2,-3.52475399,52.851428773328
PPP4C,hsa-miR-490-3p,MORF4L2,-2.501243023,52.851428773328
PPP4C,hsa-miR-490-3p,MORF4L2,-1.606514469,52.851428773328
PPP4C,hsa-miR-490-3p,MORF4L2,-2.9468931,52.851428773328
PPP4C,hsa-miR-490-3p,UBA2,1.17972065,48.543480041479
PPP4C,hsa-miR-490-3p,UBA2,-3.52475399,48.543480041479
PPP4C,hsa-miR-490-3p,UBA2,-2.501243023,48.543480041479
PPP4C,hsa-miR-490-3p,UBA2,-1.606514469,48.543480041479
PPP4C,hsa-miR-490-3p,UBA2,-2.9468931,48.543480041479
PPP4C,hsa-miR-490-3p,CDK2,1.17972065,8.2491381270211
PPP4C,hsa-miR-490-3p,CDK2,-3.52475399,8.2491381270211
PPP4C,hsa-miR-490-3p,CDK2,-2.501243023,8.2491381270211
PPP4C,hsa-miR-490-3p,CDK2,-1.606514469,8.2491381270211
PPP4C,hsa-miR-490-3p,CDK2,-2.9468931,8.2491381270211
LTBP3,hsa-miR-149-3p,PSAP,-10.17318122,684.066013017
LTBP3,hsa-miR-149-3p,PSAP,-2464.019413,684.066013017
LTBP3,hsa-miR-149-3p,PSAP,-3.699017088,684.066013017
LTBP3,hsa-miR-149-3p,YWHAE,-10.17318122,66.384446741149
LTBP3,hsa-miR-149-3p,YWHAE,-2464.019413,66.384446741149
LTBP3,hsa-miR-149-3p,YWHAE,-3.699017088,66.384446741149
LTBP3,hsa-miR-149-3p,MKNK2,-10.17318122,29.969073482743
LTBP3,hsa-miR-149-3p,MKNK2,-2464.019413,29.969073482743
LTBP3,hsa-miR-149-3p,MKNK2,-3.699017088,29.969073482743
LTBP3,hsa-miR-149-3p,KHSRP,-10.17318122,28.212418638489
LTBP3,hsa-miR-149-3p,KHSRP,-2464.019413,28.212418638489
LTBP3,hsa-miR-149-3p,KHSRP,-3.699017088,28.212418638489
LTBP3,hsa-miR-149-3p,FGFR1,-10.17318122,43.152102588549
LTBP3,hsa-miR-149-3p,FGFR1,-2464.019413,43.152102588549
LTBP3,hsa-miR-149-3p,FGFR1,-3.699017088,43.152102588549
LTBP3,hsa-miR-149-3p,GPC1,-10.17318122,12.2147578729675
LTBP3,hsa-miR-149-3p,GPC1,-2464.019413,12.2147578729675
LTBP3,hsa-miR-149-3p,GPC1,-3.699017088,12.2147578729675
LTBP3,hsa-miR-149-3p,DEDD,-10.17318122,3.4916612811289
LTBP3,hsa-miR-149-3p,DEDD,-2464.019413,3.4916612811289
LTBP3,hsa-miR-149-3p,DEDD,-3.699017088,3.4916612811289
LTBP3,hsa-miR-149-3p,AGO2,-10.17318122,13.778421844707
LTBP3,hsa-miR-149-3p,AGO2,-2464.019413,13.778421844707
LTBP3,hsa-miR-149-3p,AGO2,-3.699017088,13.778421844707
LTBP3,hsa-miR-149-3p,BCL2L2,-10.17318122,-1.0662494224144
LTBP3,hsa-miR-149-3p,BCL2L2,-2464.019413,-1.0662494224144
LTBP3,hsa-miR-149-3p,BCL2L2,-3.699017088,-1.0662494224144
LTBP3,hsa-miR-149-3p,CALR,-10.17318122,373.9289482013
LTBP3,hsa-miR-149-3p,CALR,-2464.019413,373.9289482013
LTBP3,hsa-miR-149-3p,CALR,-3.699017088,373.9289482013
LTBP3,hsa-miR-149-3p,MAZ,-10.17318122,38.224152794839
LTBP3,hsa-miR-149-3p,MAZ,-2464.019413,38.224152794839
LTBP3,hsa-miR-149-3p,MAZ,-3.699017088,38.224152794839
