lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,MIDN,-6.330369179,11.8906070110661
SFPQ,hsa-miR-139-3p,MIDN,-3.95979281,11.8906070110661
SFPQ,hsa-miR-139-3p,CDS2,-6.330369179,2.1946452065905
SFPQ,hsa-miR-139-3p,CDS2,-3.95979281,2.1946452065905
SFPQ,hsa-miR-139-3p,HNRNPF,-6.330369179,16.826566088704
SFPQ,hsa-miR-139-3p,HNRNPF,-3.95979281,16.826566088704
SFPQ,hsa-miR-139-3p,PTGES3,-6.330369179,77.720473255748
SFPQ,hsa-miR-139-3p,PTGES3,-3.95979281,77.720473255748
SFPQ,hsa-miR-139-3p,RTN4,-6.330369179,90.212245389119
SFPQ,hsa-miR-139-3p,RTN4,-3.95979281,90.212245389119
SFPQ,hsa-miR-139-3p,APP,-6.330369179,22.364184384959
SFPQ,hsa-miR-139-3p,APP,-3.95979281,22.364184384959
SFPQ,hsa-miR-139-3p,CKB,-6.330369179,3.8268883901678
SFPQ,hsa-miR-139-3p,CKB,-3.95979281,3.8268883901678
SFPQ,hsa-miR-139-3p,VIM,-6.330369179,419.04753910522
SFPQ,hsa-miR-139-3p,VIM,-3.95979281,419.04753910522
SFPQ,hsa-miR-139-3p,LRPPRC,-6.330369179,31.78842429633
SFPQ,hsa-miR-139-3p,LRPPRC,-3.95979281,31.78842429633
SFPQ,hsa-miR-139-3p,ZNF281,-6.330369179,9.3067237897527
SFPQ,hsa-miR-139-3p,ZNF281,-3.95979281,9.3067237897527
SFPQ,hsa-miR-139-3p,NCKAP1,-6.330369179,6.5256862954868
SFPQ,hsa-miR-139-3p,NCKAP1,-3.95979281,6.5256862954868
SFPQ,hsa-miR-139-3p,HMGB2,-6.330369179,6.1704502634664
SFPQ,hsa-miR-139-3p,HMGB2,-3.95979281,6.1704502634664
SFPQ,hsa-miR-139-3p,DUSP1,-6.330369179,35.848637844028
SFPQ,hsa-miR-139-3p,DUSP1,-3.95979281,35.848637844028
SFPQ,hsa-miR-139-3p,ZNF217,-6.330369179,26.54128139074
SFPQ,hsa-miR-139-3p,ZNF217,-3.95979281,26.54128139074
SFPQ,hsa-miR-139-3p,ZNF585B,-6.330369179,1.4048444058094
SFPQ,hsa-miR-139-3p,ZNF585B,-3.95979281,1.4048444058094
SFPQ,hsa-miR-139-3p,NOB1,-6.330369179,5.7813738732144
SFPQ,hsa-miR-139-3p,NOB1,-3.95979281,5.7813738732144
SFPQ,hsa-miR-139-3p,TMSB4X,-6.330369179,702.72178460317
SFPQ,hsa-miR-139-3p,TMSB4X,-3.95979281,702.72178460317
SFPQ,hsa-miR-139-3p,AZIN1,-6.330369179,55.925406950121
SFPQ,hsa-miR-139-3p,AZIN1,-3.95979281,55.925406950121
SFPQ,hsa-miR-139-3p,CD164,-6.330369179,263.744860043679
SFPQ,hsa-miR-139-3p,CD164,-3.95979281,263.744860043679
SFPQ,hsa-miR-139-3p,HNRNPU,-6.330369179,43.798065221556
