File,lncRNA hub
H37Ra_12h,SFPQ
H37Ra_12h,PPP4C
H37Ra_12h,LTBP3
H37Ra_12h,SP3
H37Ra_12h,POMP
H37Ra_12h,CSNK1D
H37Ra_12h,MRPS25
H37Ra_12h,SLC35F5
H37Ra_12h,RPL30
H37Ra_12h,LINC00273
H37Ra_1h,SFPQ
H37Ra_1h,PPP4C
H37Ra_1h,LTBP3
H37Ra_1h,MAN2C1
H37Ra_1h,SGK1
H37Ra_1h,CSNK1D
H37Ra_1h,LONP2
H37Ra_1h,MRPS25
H37Ra_1h,SLC35F5
H37Ra_1h,RPL30
H37Ra_24h,SFPQ
H37Ra_24h,UBP1
H37Ra_24h,PPP4C
H37Ra_24h,LTBP3
H37Ra_24h,CLK1
H37Ra_24h,CSNK1D
H37Ra_24h,LONP2
H37Ra_24h,MRPS25
H37Ra_24h,SLC35F5
H37Ra_24h,RPL30
H37Ra_48h,SFPQ
H37Ra_48h,PPP4C
H37Ra_48h,LTBP3
H37Ra_48h,BNIP2
H37Ra_48h,MKLN1
H37Ra_48h,CSNK1D
H37Ra_48h,LONP2
H37Ra_48h,MRPS25
H37Ra_48h,SLC35F5
H37Ra_48h,RPL30
H37Ra_4h,SFPQ
H37Ra_4h,UBP1
H37Ra_4h,PPP4C
H37Ra_4h,LTBP3
H37Ra_4h,PHB2
H37Ra_4h,CLK1
H37Ra_4h,CSNK1D
H37Ra_4h,MRPS25
H37Ra_4h,SLC35F5
H37Ra_4h,RPL30
H37Rv_12h,SFPQ
H37Rv_12h,UBP1
H37Rv_12h,LTBP3
H37Rv_12h,BNIP2
H37Rv_12h,POMP
H37Rv_12h,CSNK1D
H37Rv_12h,LONP2
H37Rv_12h,MRPS25
H37Rv_12h,SLC35F5
H37Rv_12h,RPL30
H37Rv_1h,SFPQ
H37Rv_1h,LTBP3
H37Rv_1h,RNF146
H37Rv_1h,ATXN3
H37Rv_1h,POMP
H37Rv_1h,ARID2
H37Rv_1h,CSNK1D
H37Rv_1h,MRPS25
H37Rv_1h,SLC35F5
H37Rv_1h,RPL30
H37Rv_24h,SFPQ
H37Rv_24h,PPP4C
H37Rv_24h,SRRM2
H37Rv_24h,LTBP3
H37Rv_24h,SGK1
H37Rv_24h,CSNK1D
H37Rv_24h,LONP2
H37Rv_24h,MRPS25
H37Rv_24h,SLC35F5
H37Rv_24h,RPL30
H37Rv_48h,SFPQ
H37Rv_48h,UBP1
H37Rv_48h,PPP4C
H37Rv_48h,LTBP3
H37Rv_48h,CLK1
H37Rv_48h,CSNK1D
H37Rv_48h,EPC1
H37Rv_48h,MRPS25
H37Rv_48h,SLC35F5
H37Rv_48h,RPL30
H37Rv_4h,SFPQ
H37Rv_4h,UBP1
H37Rv_4h,PPP4C
H37Rv_4h,LTBP3
H37Rv_4h,POMP
H37Rv_4h,CSNK1D
H37Rv_4h,LONP2
H37Rv_4h,SLC35F5
H37Rv_4h,RPL30
H37Rv_4h,LINC00273
